Date,Close/Last,Volume,Open,High,Low
10-28-2024,$78.91,6617243,$79.32,$79.64,$78.82
10-25-2024,$78.85,9385379,$79.22,$79.58,$78.5201
10-24-2024,$79.04,7424459,$80.50,$80.80,$79.03
10-23-2024,$80.05,7253085,$81.00,$81.0375,$79.791
10-22-2024,$81.42,7308823,$81.35,$82.42,$81.23
10-21-2024,$81.48,7550197,$82.85,$83.09,$81.44
10-18-2024,$82.92,7214787,$83.78,$83.95,$82.63
10-17-2024,$83.40,9204490,$84.11,$84.762,$83.38
10-16-2024,$83.94,11220590,$82.14,$84.09,$82.05
10-15-2024,$82.12,11804390,$81.05,$82.72,$81.05
10-14-2024,$81.60,8177686,$82.00,$82.04,$80.80
10-11-2024,$82.15,10171110,$82.04,$82.27,$81.18
10-10-2024,$82.10,8370188,$83.40,$83.45,$82.03
10-09-2024,$82.45,11750640,$81.14,$82.925,$81.07
10-08-2024,$80.77,10569620,$80.75,$81.42,$79.93
10-07-2024,$80.83,12767400,$82.14,$82.47,$80.09
10-04-2024,$82.25,10342360,$82.63,$83.54,$82.10
10-03-2024,$82.10,18143750,$82.40,$83.78,$81.98
10-02-2024,$83.10,33208790,$82.885,$85.23,$81.77
10-01-2024,$89.13,20623380,$88.00,$89.635,$87.71
09-30-2024,$88.40,12036390,$89.70,$89.75,$87.725
09-27-2024,$89.44,9181004,$89.45,$90.26,$89.21
09-26-2024,$89.39,13592810,$89.92,$90.62,$89.05
09-25-2024,$88.00,12392850,$87.85,$88.095,$87.24
09-24-2024,$87.46,21123260,$87.44,$88.28,$86.655
09-23-2024,$86.20,17712400,$85.40,$86.53,$85.05
09-20-2024,$86.52,52039260,$87.87,$88.00,$84.805
09-19-2024,$80.98,15067070,$82.60,$83.12,$80.47
09-18-2024,$80.90,7637007,$80.66,$81.755,$80.23
09-17-2024,$80.64,7580602,$80.01,$80.98,$79.86
09-16-2024,$79.80,9547660,$79.33,$79.99,$78.6895
09-13-2024,$79.01,5814152,$78.30,$79.49,$78.11
09-12-2024,$78.40,7186114,$78.23,$79.065,$77.53
09-11-2024,$78.40,8265542,$78.00,$78.59,$76.7421
09-10-2024,$78.09,9748356,$79.56,$79.56,$77.55
09-09-2024,$79.49,8003349,$80.75,$81.58,$79.015
09-06-2024,$80.63,8512173,$80.88,$81.88,$80.35
09-05-2024,$80.83,7596293,$81.13,$81.2404,$80.21
09-04-2024,$81.02,12837370,$80.10,$81.09,$79.67
09-03-2024,$81.32,10133710,$82.71,$82.94,$81.01
08-30-2024,$83.32,13755270,$83.60,$83.88,$82.05
08-29-2024,$83.26,7477205,$83.45,$83.89,$82.86
08-28-2024,$82.79,11088620,$85.05,$85.43,$81.88
08-27-2024,$85.29,14953990,$84.07,$85.39,$83.61
08-26-2024,$84.28,7853325,$83.47,$84.505,$83.38
08-23-2024,$84.05,9219749,$83.34,$84.24,$83.22
08-22-2024,$83.41,8485455,$84.45,$84.68,$83.21
08-21-2024,$84.00,6915865,$83.67,$84.24,$83.22
08-20-2024,$83.56,7863052,$83.49,$83.90,$82.77
08-19-2024,$83.28,9627253,$83.23,$83.99,$82.92
08-16-2024,$83.23,13794180,$82.88,$83.94,$82.44
08-15-2024,$82.50,23583640,$82.10,$83.06,$80.67
08-14-2024,$78.52,13612960,$78.00,$79.09,$77.42
08-13-2024,$78.50,22114820,$75.25,$79.05,$75.07
08-12-2024,$74.64,7067256,$74.71,$75.00,$74.0504
08-09-2024,$74.34,7186634,$74.12,$74.58,$73.366
08-08-2024,$74.19,8828032,$73.23,$74.21,$73.045
08-07-2024,$72.62,9571247,$72.88,$74.2119,$72.525
08-06-2024,$72.50,13469720,$71.66,$73.24,$71.51
08-05-2024,$71.42,13191530,$71.06,$72.62,$70.7502
08-02-2024,$74.01,11526630,$72.83,$74.125,$71.92
08-01-2024,$73.85,9563543,$74.70,$74.79,$73.26
07-31-2024,$74.86,14632940,$74.50,$75.43,$73.92
07-30-2024,$74.32,8515720,$73.69,$74.49,$73.455
07-29-2024,$73.55,10471840,$72.50,$73.8699,$72.20
07-26-2024,$72.56,8891986,$72.00,$72.78,$71.87
07-25-2024,$71.41,13855390,$71.53,$72.43,$70.91
07-24-2024,$71.09,18563320,$73.25,$73.39,$71.08
07-23-2024,$73.40,11041790,$74.63,$75.04,$73.24
07-22-2024,$74.86,19385490,$73.12,$75.34,$73.0703
07-19-2024,$72.70,11913320,$72.30,$72.82,$71.8516
07-18-2024,$72.38,14440130,$72.97,$73.93,$72.35
07-17-2024,$73.07,11161560,$72.53,$73.34,$72.50
07-16-2024,$72.81,20980670,$71.51,$72.96,$71.51
07-15-2024,$71.31,20775810,$73.00,$73.006,$71.24
07-12-2024,$73.42,14527520,$73.57,$74.05,$73.172
07-11-2024,$73.39,15876670,$72.70,$73.75,$72.29
07-10-2024,$72.54,21378210,$72.26,$72.64,$71.67
07-09-2024,$72.46,23502450,$73.30,$74.14,$72.38
07-08-2024,$73.05,29905040,$75.41,$75.49,$73.00
07-05-2024,$75.43,19603690,$75.36,$76.09,$74.78
07-03-2024,$75.24,15952010,$75.50,$75.92,$75.0199
07-02-2024,$76.04,26183350,$76.82,$76.94,$75.39
07-01-2024,$76.83,44369010,$75.50,$77.06,$74.29
06-28-2024,$75.37,129967000,$77.13,$79.05,$74.55
06-27-2024,$94.19,25772730,$93.77,$94.74,$93.39
06-26-2024,$94.06,10160430,$94.09,$94.48,$93.15
06-25-2024,$94.75,9036181,$97.31,$97.64,$94.50
06-24-2024,$97.17,9466888,$97.30,$98.04,$96.68
06-21-2024,$97.18,15569880,$95.96,$97.209,$95.42
06-20-2024,$95.57,9393767,$93.88,$96.09,$93.5216
06-18-2024,$94.78,6712037,$94.67,$95.26,$94.21
06-17-2024,$95.00,6365370,$92.01,$95.12,$92.01
06-14-2024,$93.39,7426757,$93.80,$94.78,$93.3002
06-13-2024,$94.18,8348214,$94.04,$94.53,$93.72
06-12-2024,$93.68,9861264,$96.35,$96.50,$93.50
06-11-2024,$95.87,7301545,$95.52,$95.995,$94.52
06-10-2024,$96.00,7035626,$95.73,$96.99,$95.5953
06-07-2024,$96.55,9397364,$95.39,$97.94,$95.30
06-06-2024,$95.72,9760077,$94.86,$96.795,$93.99
06-05-2024,$94.32,7463299,$95.315,$95.32,$93.70
06-04-2024,$94.74,7838435,$94.29,$95.11,$93.41
06-03-2024,$94.40,9668106,$94.52,$95.25,$94.05
05-31-2024,$95.05,12565600,$93.50,$95.07,$92.97
05-30-2024,$93.45,9310016,$92.23,$93.875,$91.96
05-29-2024,$91.67,7237340,$91.68,$92.72,$91.38
05-28-2024,$92.00,10834960,$91.74,$92.515,$91.35
05-24-2024,$91.75,6937118,$91.77,$92.2001,$91.49
05-23-2024,$91.40,7729024,$92.45,$92.58,$91.15
05-22-2024,$92.50,7611906,$91.95,$92.76,$91.65
05-21-2024,$92.82,7809654,$91.57,$92.85,$91.45
05-20-2024,$91.77,9701510,$92.25,$92.70,$90.83
05-17-2024,$92.18,12019570,$92.01,$92.29,$91.34
05-16-2024,$91.77,12711680,$91.69,$92.84,$91.53
05-15-2024,$91.67,15614450,$92.29,$92.62,$90.85
05-14-2024,$92.79,7810983,$92.99,$94.34,$92.60
05-13-2024,$92.72,8792060,$91.27,$92.77,$91.15
05-10-2024,$90.94,10548410,$93.07,$93.135,$90.88
05-09-2024,$93.39,6429824,$93.64,$93.98,$93.01
05-08-2024,$93.59,5372900,$93.12,$93.64,$92.73
05-07-2024,$93.78,7113455,$94.08,$94.315,$93.21
05-06-2024,$93.36,6696303,$92.81,$93.37,$92.48
05-03-2024,$92.15,5736711,$93.09,$93.65,$91.87
05-02-2024,$92.41,7333343,$91.33,$92.45,$90.91
05-01-2024,$90.34,9784643,$91.81,$91.87,$90.09
04-30-2024,$92.26,6493259,$92.91,$93.51,$92.25
04-29-2024,$94.06,5034546,$94.44,$94.89,$93.70
04-26-2024,$94.12,6115744,$94.59,$95.4174,$93.91
04-25-2024,$93.94,5317852,$94.00,$94.7891,$92.44
04-24-2024,$94.64,6493208,$94.10,$95.1909,$94.10
04-23-2024,$94.02,6582696,$94.37,$94.72,$93.91
04-22-2024,$94.19,8641953,$94.63,$95.06,$93.85
04-19-2024,$94.53,11241900,$95.42,$96.22,$94.49
04-18-2024,$95.74,10062900,$95.16,$95.88,$94.53
04-17-2024,$94.84,10181180,$94.61,$95.07,$93.66
04-16-2024,$93.39,10388150,$93.04,$94.19,$91.65
04-15-2024,$93.10,11597330,$93.59,$93.92,$92.54
04-12-2024,$92.00,10905920,$92.01,$92.87,$91.12
04-11-2024,$92.00,15330200,$91.23,$92.41,$90.83
04-10-2024,$89.00,7932933,$89.90,$90.10,$88.77
04-09-2024,$91.00,7194564,$90.00,$91.16,$89.87
04-08-2024,$90.00,8452543,$89.11,$90.26,$88.80
04-05-2024,$88.84,9716682,$89.15,$90.25,$88.80
04-04-2024,$89.07,12110260,$90.95,$91.05,$88.89
04-03-2024,$90.33,8876598,$91.01,$91.44,$90.28
04-02-2024,$90.95,11107330,$91.76,$91.90,$90.635
04-01-2024,$92.56,10360010,$93.81,$93.92,$91.691
03-28-2024,$93.98,11331680,$94.37,$94.8142,$93.43
03-27-2024,$94.13,11095680,$93.27,$94.15,$92.32
03-26-2024,$92.58,10816950,$93.74,$93.86,$92.41
03-25-2024,$93.75,14548770,$94.07,$95.52,$92.77
03-22-2024,$93.86,41837410,$93.845,$95.17,$91.72
03-21-2024,$100.82,17176010,$100.44,$101.92,$99.76
03-20-2024,$100.27,7771693,$99.45,$100.44,$99.03
03-19-2024,$99.96,6168856,$98.50,$100.04,$98.44
03-18-2024,$98.74,7206957,$98.98,$99.655,$98.5203
03-15-2024,$99.64,15208540,$100.30,$101.16,$99.34
03-14-2024,$100.26,8350939,$102.20,$102.49,$100.091
03-13-2024,$101.36,7326384,$100.61,$102.00,$100.3301
03-12-2024,$100.18,7040889,$100.79,$101.365,$99.65
03-11-2024,$101.08,8537402,$99.90,$101.76,$99.44
03-08-2024,$99.16,9043458,$98.49,$99.315,$98.02
03-07-2024,$98.19,8133866,$97.99,$98.40,$97.68
03-06-2024,$97.63,10045280,$100.00,$100.10,$97.06
03-05-2024,$98.31,8670642,$99.00,$99.17,$98.00
03-04-2024,$99.54,11050910,$101.65,$101.77,$99.01
03-01-2024,$101.88,7349270,$103.87,$103.94,$101.83
02-29-2024,$103.93,10811630,$104.98,$105.57,$103.68
02-28-2024,$104.35,4219844,$104.10,$105.44,$103.70
02-27-2024,$105.15,5317417,$104.83,$105.245,$103.99
02-26-2024,$104.54,5831480,$105.31,$106.10,$103.76
02-23-2024,$105.63,6947285,$105.26,$106.62,$105.19
02-22-2024,$105.08,6705491,$105.80,$106.01,$104.08
02-21-2024,$105.27,8893514,$103.35,$105.52,$102.93
02-20-2024,$103.30,8759480,$103.13,$103.84,$102.17
02-16-2024,$103.51,14590130,$104.63,$104.70,$101.65
02-15-2024,$106.05,7201273,$107.02,$107.34,$105.83
02-14-2024,$106.33,5743277,$104.82,$106.42,$104.46
02-13-2024,$105.00,6180509,$104.99,$105.80,$104.245
02-12-2024,$107.18,7501946,$104.74,$107.43,$104.645
02-09-2024,$104.50,5449022,$103.80,$104.94,$103.33
02-08-2024,$103.77,6330409,$104.43,$104.96,$103.045
02-07-2024,$103.79,9447765,$102.39,$104.34,$102.35
02-06-2024,$102.61,11372410,$99.50,$102.63,$99.13
02-05-2024,$99.68,10097940,$100.50,$100.59,$99.0531
02-02-2024,$100.71,8966927,$100.88,$101.4099,$99.43
02-01-2024,$101.76,7666694,$101.90,$102.2494,$100.61
01-31-2024,$101.53,11547640,$104.09,$104.30,$101.12
01-30-2024,$104.18,7542837,$103.34,$104.31,$103.13
01-29-2024,$103.88,8860834,$102.88,$104.01,$101.34
01-26-2024,$102.75,9735779,$101.57,$103.27,$101.22
01-25-2024,$100.77,10063750,$101.53,$101.74,$100.09
01-24-2024,$100.76,7879315,$101.78,$101.80,$100.69
01-23-2024,$101.90,8208026,$101.63,$102.14,$101.23
01-22-2024,$100.56,9897443,$101.75,$101.81,$100.09
01-19-2024,$101.78,8517208,$101.02,$102.18,$99.67
01-18-2024,$100.94,8852439,$101.00,$101.425,$100.07
01-17-2024,$100.82,8226243,$101.05,$101.31,$100.24
01-16-2024,$101.72,10547900,$103.94,$104.2199,$101.36
