Date,Close/Last,Volume,Open,High,Low
10/28/2024,$2.40,68069,$2.35,$2.40,$2.28
10/25/2024,$2.33,47782,$2.42,$2.44,$2.25
10/24/2024,$2.40,76763,$2.29,$2.46,$2.24
10/23/2024,$2.31,60074,$2.36,$2.36,$2.21
10/22/2024,$2.36,19046,$2.44,$2.44,$2.3204
10/21/2024,$2.41,51358,$2.45,$2.46,$2.26
10/18/2024,$2.49,89978,$2.37,$2.49,$2.32
10/17/2024,$2.37,150120,$2.23,$2.45,$2.22
10/16/2024,$2.23,99070,$2.18,$2.28,$2.10
10/15/2024,$2.08,69379,$2.20,$2.20,$2.07
10/14/2024,$2.20,31930,$2.14,$2.29,$2.11
10-11-2024,$2.12,21515,$2.13,$2.17,$2.09
10-10-2024,$2.17,34427,$2.20,$2.22,$2.0529
10-09-2024,$2.16,66755,$2.23,$2.30,$2.11
10-08-2024,$2.2501,42474,$2.30,$2.38,$2.22
10-07-2024,$2.311,80102,$2.27,$2.3999,$2.23
10-04-2024,$2.33,109581,$2.27,$2.40,$2.20
10-03-2024,$2.34,67051,$2.36,$2.37,$2.2301
10-02-2024,$2.32,122726,$2.36,$2.398,$2.20
10-01-2024,$2.41,195217,$2.21,$2.41,$2.17
09/30/2024,$2.24,1182122,$2.34,$2.57,$2.23
09/27/2024,$2.19,60938,$2.30,$2.30,$2.15
09/26/2024,$2.21,43810,$2.29,$2.33,$2.21
09/25/2024,$2.23,167954,$2.33,$2.399,$2.2101
09/24/2024,$2.31,71480,$2.38,$2.40,$2.29
09/23/2024,$2.39,161982,$2.54,$2.54,$2.21
09/20/2024,$2.54,547587,$2.59,$2.643,$2.52
09/19/2024,$2.45,449425,$2.70,$2.70,$2.1227
09/18/2024,$2.60,309544,$2.65,$2.7092,$2.58
09/17/2024,$2.70,82126,$2.7328,$2.7328,$2.60
09/16/2024,$2.73,215243,$2.71,$2.79,$2.6836
09/13/2024,$2.76,103001,$2.74,$2.9019,$2.6701
09-12-2024,$2.74,24373,$2.63,$2.76,$2.63
09-11-2024,$2.79,21535,$2.79,$2.80,$2.65
09-10-2024,$2.81,50578,$2.84,$2.96,$2.66
09-09-2024,$2.85,285551,$2.88,$3.3295,$2.74
09-06-2024,$2.80,64161,$2.73,$2.92,$2.6846
09-05-2024,$2.80,39632,$2.66,$2.8599,$2.66
09-04-2024,$2.75,59948,$2.70,$2.8028,$2.63
09-03-2024,$2.69,17310,$2.85,$2.85,$2.62
08/30/2024,$2.80,17787,$2.76,$2.86,$2.68
08/29/2024,$2.81,34341,$2.78,$2.82,$2.72
08/28/2024,$2.78,55855,$2.68,$2.89,$2.66
08/27/2024,$2.68,33973,$2.754,$2.80,$2.52
08/26/2024,$2.80,13808,$2.81,$2.85,$2.73
08/23/2024,$2.88,34976,$2.91,$2.9215,$2.7117
08/22/2024,$2.7372,39851,$2.81,$2.88,$2.7101
08/21/2024,$2.6501,85966,$2.89,$2.89,$2.6501
08/20/2024,$2.82,78228,$2.51,$2.89,$2.51
08/19/2024,$2.4768,26852,$2.68,$2.68,$2.44
08/16/2024,$2.5704,29777,$2.62,$2.70,$2.57
08/15/2024,$2.63,19675,$2.55,$2.68,$2.5301
08/14/2024,$2.53,23815,$2.53,$2.57,$2.40
08/13/2024,$2.54,25937,$2.56,$2.66,$2.40
08-12-2024,$2.50,56984,$2.79,$2.87,$2.50
08-09-2024,$2.795,17132,$2.75,$2.88,$2.66
08-08-2024,$2.7601,21563,$2.96,$2.9962,$2.75
08-07-2024,$2.88,25933,$3.06,$3.1283,$2.81
08-06-2024,$3.00,23376,$3.21,$3.21,$2.97
08-05-2024,$3.21,207671,$3.16,$3.64,$2.43
08-02-2024,$3.60,43901,$3.40,$3.63,$3.30
08-01-2024,$3.44,40351,$3.60,$3.6431,$3.40
07/31/2024,$3.59,39201,$3.60,$3.76,$3.51
07/30/2024,$3.60,107329,$3.80,$3.89,$3.50
07/29/2024,$3.71,42348,$3.89,$3.909,$3.62
07/26/2024,$3.76,175271,$3.75,$4.00,$3.65
07/25/2024,$4.07,150905,$3.81,$4.28,$3.80
07/24/2024,$3.88,110046,$4.00,$4.12,$3.80
07/23/2024,$3.92,121154,$3.70,$4.08,$3.70
07/22/2024,$3.70,158111,$3.96,$4.09,$3.5891
07/19/2024,$3.85,99674,$3.96,$4.03,$3.80
07/18/2024,$4.00,107593,$4.13,$4.2899,$3.91
07/17/2024,$4.41,277026,$3.98,$4.60,$3.98
07/16/2024,$3.98,57680,$4.04,$4.19,$3.95
07/15/2024,$4.12,146144,$4.26,$4.4493,$4.00
07-12-2024,$4.37,160053,$4.08,$4.59,$4.05
07-11-2024,$4.08,182779,$4.06,$4.30,$3.91
07-10-2024,$4.06,289706,$3.65,$4.2344,$3.65
07-09-2024,$3.69,163109,$3.55,$3.9999,$3.3523
07-08-2024,$3.58,166876,$3.75,$3.75,$3.30
07-05-2024,$3.79,312007,$3.92,$4.15,$3.60
07-03-2024,$3.90,218195,$4.05,$4.25,$3.76
07-02-2024,$3.80,278077,$4.36,$4.43,$3.7576
07-01-2024,$4.66,1891591,$4.26,$4.98,$3.73
06/28/2024,$3.8456,238388,$4.2503,$4.2503,$3.7419
06/27/2024,$4.252,255078,$4.7331,$4.8011,$4.1738
06/26/2024,$4.847,478287,$5.2703,$5.6018,$4.2503
06/25/2024,$6.7511,279232,$7.0843,$7.4788,$5.964
06/24/2024,$7.6505,822937,$8.2047,$9.6906,$7.3104
06/21/2024,$7.9123,584469,$8.3577,$8.9765,$7.2271
06/20/2024,$10.2669,8198267,$8.9323,$11.8633,$8.1809
06/18/2024,$6.6491,23224989,$11.032,$18.5294,$6.6491
06/17/2024,$3.7742,20388,$3.8303,$3.9901,$3.4869
06/14/2024,$3.7623,9334,$3.8728,$4.0802,$3.7402
06/13/2024,$3.9204,10513,$3.7844,$3.9442,$3.6977
06-12-2024,$3.9017,18987,$3.9612,$4.1465,$3.6637
06-11-2024,$3.9272,13761,$4.0683,$4.2486,$3.8235
06-10-2024,$3.9391,31819,$4.3183,$4.3183,$3.8439
06-07-2024,$4.2333,39920,$4.2503,$4.4628,$3.9952
06-06-2024,$4.0802,24475,$4.4203,$4.4203,$3.9952
06-05-2024,$4.3013,5324,$4.3438,$4.4798,$4.2741
06-04-2024,$4.4186,12277,$4.4849,$4.6073,$4.3353
06-03-2024,$4.6243,25886,$4.5903,$4.6753,$4.3438
05/31/2024,$4.6073,76636,$4.5563,$5.2703,$4.2163
05/30/2024,$4.388,37725,$4.0972,$4.5903,$4.0802
05/29/2024,$4.0037,32374,$3.9986,$4.1567,$3.9527
05/28/2024,$4.2758,55129,$4.6107,$4.6107,$3.9102
05/24/2024,$4.6532,11875,$4.4883,$4.6532,$4.4747
05/23/2024,$4.5665,31890,$4.9303,$5.0153,$4.2503
05/22/2024,$4.8963,48504,$5.0153,$5.017,$4.6243
05/21/2024,$5.0153,25700,$4.9813,$5.221,$4.7603
05/20/2024,$5.6103,33613,$5.2703,$5.6103,$4.779
05/17/2024,$5.3179,87419,$5.2261,$5.6086,$4.8062
05/16/2024,$4.9303,174767,$5.9402,$5.9487,$4.694
05/15/2024,$6.2887,1583404,$5.4403,$10.0306,$4.779
05/14/2024,$4.6056,9012,$4.4305,$4.6753,$4.3557
05/13/2024,$4.4169,6077,$4.5393,$4.5393,$4.388
05-10-2024,$4.3574,5090,$4.2843,$4.4203,$4.1721
05-09-2024,$4.2469,5002,$4.1295,$4.2503,$4.0395
05-08-2024,$4.1823,6921,$4.3693,$4.3693,$4.1023
05-07-2024,$4.2163,6764,$4.2503,$4.4169,$4.167
05-06-2024,$4.2673,20226,$4.4203,$4.5053,$4.2503
05-03-2024,$4.2826,10479,$4.422,$4.5036,$4.2554
05-02-2024,$4.4203,8003,$4.6736,$4.7603,$4.3846
05-01-2024,$4.6753,6517,$4.6243,$4.7263,$4.4424
04/30/2024,$4.6753,6892,$4.7603,$4.7603,$4.4373
04/29/2024,$4.7263,13828,$5.1003,$5.1003,$4.3523
04/26/2024,$4.5223,8356,$4.6243,$4.8436,$4.473
04/25/2024,$4.7603,7140,$4.9473,$5.0969,$4.6753
04/24/2024,$5.1003,10323,$5.0493,$5.4403,$4.9303
04/23/2024,$4.949,11048,$4.7603,$5.1003,$4.7263
04/22/2024,$4.7586,8597,$4.8368,$4.9473,$4.7263
04/19/2024,$4.728,14086,$4.6073,$4.983,$4.6073
04/18/2024,$4.677,9914,$5.2584,$5.2584,$4.6243
04/17/2024,$5.2584,10852,$5.442,$5.4896,$4.6753
04/16/2024,$5.2703,15421,$4.5903,$5.7803,$4.4203
04/15/2024,$4.7263,26336,$5.6103,$5.6103,$4.2673
04-12-2024,$5.6613,19923,$5.6103,$6.0745,$5.2703
04-11-2024,$5.8467,16435,$6.1221,$6.2717,$5.4743
04-10-2024,$5.9504,32927,$6.5794,$6.6967,$5.7973
04-09-2024,$6.7987,26941,$6.9687,$7.5315,$6.4621
04-08-2024,$7.1999,75322,$7.3104,$7.9905,$6.8021
04-05-2024,$8.2404,172626,$7.5502,$9.7773,$7.4838
04-04-2024,$9.0105,2595070,$8.4852,$9.9269,$7.0724
04-03-2024,$6.2904,326326,$6.0184,$6.2904,$5.6936
04-02-2024,$6.0694,3506,$5.9334,$6.1578,$5.6715
04-01-2024,$5.6715,1978,$5.9334,$6.1204,$5.6103
03/28/2024,$5.7803,3358,$5.7633,$6.2904,$5.612
03/27/2024,$5.6953,7146,$6.2394,$6.2479,$5.442
03/26/2024,$6.0073,1981,$5.9334,$6.2564,$5.9164
03/25/2024,$6.2207,4296,$6.4434,$6.4434,$5.6953
03/22/2024,$5.9538,8532,$6.6134,$6.7834,$5.5916
03/21/2024,$6.5197,2290,$6.7987,$6.7987,$6.219
03/20/2024,$6.5454,3261,$6.4706,$6.6644,$6.1799
03/19/2024,$6.1391,1814,$6.5624,$6.5896,$6.1221
03/18/2024,$6.2836,5029,$6.3924,$6.6304,$6.219
03/15/2024,$5.9504,7718,$6.3584,$6.4094,$5.9504
03/14/2024,$5.9674,2634,$6.1204,$6.6134,$5.9674
03/13/2024,$6.1714,4046,$6.6032,$6.7205,$6.1204
03-12-2024,$6.6032,3169,$6.5726,$6.6287,$6.2343
03-11-2024,$6.5454,7288,$7.2424,$7.2424,$6.1204
